date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,playback_location_type,traffic_source_type,device_type,operating_system,views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,live,subscribed,IN,0,0,101,2,3,194.50318333333334,3890.0636666666669,63.099167342525007,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,94cUja4VwdE,on_demand,subscribed,IN,10,4,104,4,1,0.55,33,97.058823529411768,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,XpGGcvIW0Jk,on_demand,not_subscribed,IN,0,3,101,2,1,0.50485,30.291,0.38338185039868372,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,XpGGcvIW0Jk,on_demand,not_subscribed,IN,7,3,101,2,1,0.31535,18.921,0.23947601569421592,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,c_k07vQ6zP8,live,subscribed,IN,0,17,104,4,1,1.5,90,1.3142523364485981,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,on_demand,subscribed,IN,0,3,105,4,1,0.825,49.5,0.8029197080291971,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,f2nce-SulGg,on_demand,not_subscribed,IN,10,7,104,5,1,0.2805,16.83,80.142857142857139,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,gwqTwGMRRwE,on_demand,subscribed,IN,0,17,104,4,1,0.45,27,0.24182713837886252,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,on_demand,subscribed,IN,0,3,104,4,12,1.6333333333333333,8.1666666666666661,0.13246823465801569,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,D3cyh2uj2nA,live,not_subscribed,IN,0,4,104,4,2,1.0333333333333334,31,0.69615989220750052,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,syC15Me4YEM,on_demand,not_subscribed,IN,0,5,101,2,2,0.13205,3.9615,0.080078835657974537,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,on_demand,subscribed,IN,7,3,104,4,3,0.60666666666666669,12.133333333333333,0.19680994863476614,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,k3wt1ST7xYs,on_demand,not_subscribed,IN,10,4,105,4,1,0.32833333333333331,19.7,93.80952380952381,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,c_k07vQ6zP8,on_demand,subscribed,IN,0,4,101,2,1,2.4368,146.208,2.1350467289719628,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,syC15Me4YEM,on_demand,not_subscribed,GB,0,5,104,5,1,0.4282,25.692,0.51934505761067318,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,GGZ18mYRkOU,on_demand,not_subscribed,IN,10,4,104,4,1,0.84333333333333338,50.6,99.2156862745098,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,gwqTwGMRRwE,on_demand,not_subscribed,LK,7,3,104,4,1,0.43666666666666665,26.2,0.23466188983430364,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,aXkTv0adU7o,on_demand,subscribed,IN,0,7,101,2,1,118.09301666666667,7085.581,99.994086931978543,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,lo_yRyIJZ-w,on_demand,not_subscribed,IN,10,5,104,4,1,0.18666666666666668,11.2,36.12903225806452,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,nBffL6ylOxQ,on_demand,not_subscribed,IN,0,4,101,2,2,3.2959666666666667,98.879,3.3003671562082779,0,0
